dtime,instrument,bid_price,bid_size,bid_orders,ask_price,ask_size,ask_orders,rectime,quote_id,nanos
2024-03-12 12:33:57.303341+00:00,SFRU24,95.250,1203,25,95.255,140,9,2024-03-12 12:33:57.310189+00:00,28595887,303341993
2024-03-12 12:33:57.303368+00:00,SFRU24,95.250,1230,25,95.255,140,9,2024-03-12 12:33:57.310189+00:00,28595888,303368601
2024-03-12 12:33:57.306303+00:00,SFRU24,95.250,1212,25,95.255,140,9,2024-03-12 12:33:57.315249+00:00,28595909,306303275
2024-03-12 12:33:57.306310+00:00,SFRU24,95.250,1194,25,95.255,140,9,2024-03-12 12:33:57.315249+00:00,28595912,306310359
2024-03-12 12:33:57.321622+00:00,SFRU24,95.250,1251,25,95.255,140,9,2024-03-12 12:33:57.330100+00:00,28595965,321622555
2024-03-12 12:33:57.347308+00:00,SFRU24,95.250,1251,25,95.255,147,9,2024-03-12 12:33:57.355081+00:00,28595990,347308191
2024-03-12 12:33:57.347401+00:00,SFRU24,95.250,1218,25,95.255,147,9,2024-03-12 12:33:57.355081+00:00,28596000,347401499
2024-03-12 12:33:57.347580+00:00,SFRU24,95.250,1207,25,95.255,147,9,2024-03-12 12:33:57.355081+00:00,28596019,347580897
2024-03-12 12:33:57.400933+00:00,SFRU24,95.250,1212,25,95.255,147,9,2024-03-12 12:33:57.410755+00:00,28596110,400933807
2024-03-12 12:33:57.500535+00:00,SFRU24,95.250,1223,26,95.255,147,9,2024-03-12 12:33:57.510297+00:00,28596154,500535567
2024-03-12 12:33:57.519859+00:00,SFRU24,95.250,1227,26,95.255,147,9,2024-03-12 12:33:57.525255+00:00,28596166,519859053
2024-03-12 12:33:57.589758+00:00,SFRU24,95.250,1228,26,95.255,147,9,2024-03-12 12:33:57.594927+00:00,28596184,589758651
2024-03-12 12:33:57.589829+00:00,SFRU24,95.250,1229,26,95.255,147,9,2024-03-12 12:33:57.594927+00:00,28596185,589829629
2024-03-12 12:33:57.589922+00:00,SFRU24,95.250,1231,26,95.255,147,9,2024-03-12 12:33:57.594927+00:00,28596186,589922341
2024-03-12 12:33:57.693412+00:00,SFRU24,95.250,1232,26,95.255,147,9,2024-03-12 12:33:57.700456+00:00,28596212,693412247
2024-03-12 12:33:57.762396+00:00,SFRU24,95.250,1232,26,95.255,132,9,2024-03-12 12:33:57.770213+00:00,28596279,762396601
2024-03-12 12:33:57.762667+00:00,SFRU24,95.250,1232,26,95.255,141,9,2024-03-12 12:33:57.770213+00:00,28596330,762667155
2024-03-12 12:33:57.763000+00:00,SFRU24,95.250,1232,26,95.255,141,9,2024-03-12 12:33:57.770213+00:00,28596330,762667155
2024-03-12 12:33:57.763072+00:00,SFRU24,95.250,1232,26,95.255,132,9,2024-03-12 12:33:57.770213+00:00,28596352,763072737
2024-03-12 12:33:57.763412+00:00,SFRU24,95.250,1232,26,95.255,133,9,2024-03-12 12:33:57.770213+00:00,28596370,763412179
2024-03-12 12:33:57.763415+00:00,SFRU24,95.250,1232,26,95.255,139,9,2024-03-12 12:33:57.770213+00:00,28596373,763415655
2024-03-12 12:33:57.763427+00:00,SFRU24,95.250,1232,26,95.255,141,9,2024-03-12 12:33:57.770213+00:00,28596376,763427635
2024-03-12 12:33:57.763658+00:00,SFRU24,95.250,1232,26,95.255,136,9,2024-03-12 12:33:57.770213+00:00,28596393,763658485
2024-03-12 12:33:57.763661+00:00,SFRU24,95.250,1232,26,95.255,132,9,2024-03-12 12:33:57.770213+00:00,28596396,763661615
2024-03-12 12:33:57.763776+00:00,SFRU24,95.250,1232,26,95.255,141,9,2024-03-12 12:33:57.770213+00:00,28596405,763776599
2024-03-12 12:33:57.764000+00:00,SFRU24,95.250,1232,26,95.255,141,9,2024-03-12 12:33:57.770213+00:00,28596405,763776599
2024-03-12 12:33:57.764005+00:00,SFRU24,95.250,1232,26,95.255,132,9,2024-03-12 12:33:57.775177+00:00,28596412,764005531
2024-03-12 12:33:57.765076+00:00,SFRU24,95.250,1242,26,95.255,132,9,2024-03-12 12:33:57.775177+00:00,28596451,765076173
2024-03-12 12:33:57.765525+00:00,SFRU24,95.250,1239,26,95.255,132,9,2024-03-12 12:33:57.775177+00:00,28596464,765525933
2024-03-12 12:33:57.767539+00:00,SFRU24,95.250,1239,26,95.255,147,9,2024-03-12 12:33:57.775177+00:00,28596492,767539333
2024-03-12 12:33:57.770456+00:00,SFRU24,95.250,1240,26,95.255,147,9,2024-03-12 12:33:57.780122+00:00,28596520,770456381
2024-03-12 12:33:57.770492+00:00,SFRU24,95.250,1241,26,95.255,147,9,2024-03-12 12:33:57.780122+00:00,28596524,770492111
2024-03-12 12:33:57.771000+00:00,SFRU24,95.250,1241,26,95.255,147,9,2024-03-12 12:33:57.780122+00:00,28596524,770492111
2024-03-12 12:33:57.771063+00:00,SFRU24,95.250,1241,26,95.255,156,9,2024-03-12 12:33:57.780122+00:00,28596533,771063133
2024-03-12 12:33:57.771578+00:00,SFRU24,95.250,1241,26,95.255,147,9,2024-03-12 12:33:57.780122+00:00,28596546,771578497
2024-03-12 12:33:57.773638+00:00,SFRU24,95.250,1176,26,95.255,147,9,2024-03-12 12:33:57.780122+00:00,28596565,773638261
2024-03-12 12:33:57.773786+00:00,SFRU24,95.250,1176,26,95.255,156,9,2024-03-12 12:33:57.780122+00:00,28596568,773786269
2024-03-12 12:33:57.773787+00:00,SFRU24,95.250,1196,26,95.255,156,9,2024-03-12 12:33:57.780122+00:00,28596571,773787229
2024-03-12 12:33:57.773796+00:00,SFRU24,95.250,1185,26,95.255,156,9,2024-03-12 12:33:57.780122+00:00,28596588,773796309
2024-03-12 12:33:57.773797+00:00,SFRU24,95.250,1185,26,95.255,141,9,2024-03-12 12:33:57.780122+00:00,28596590,773797807
2024-03-12 12:33:57.773916+00:00,SFRU24,95.250,1171,26,95.255,141,9,2024-03-12 12:33:57.780122+00:00,28596614,773916285
2024-03-12 12:33:57.773920+00:00,SFRU24,95.250,1154,26,95.255,172,9,2024-03-12 12:33:57.780122+00:00,28596623,773920279
2024-03-12 12:33:57.773930+00:00,SFRU24,95.250,1154,26,95.255,217,9,2024-03-12 12:33:57.780122+00:00,28596627,773930187
2024-03-12 12:33:57.773966+00:00,SFRU24,95.250,1149,26,95.255,217,9,2024-03-12 12:33:57.780122+00:00,28596637,773966721
