dtime,bid_price,ask_price,bid_size,ask_size
2024-03-12 12:27:02.297325+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.297905+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.297937+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.298273+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.298436+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.298481+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.302155+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.302933+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.303688+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.303940+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.313853+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.315539+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.315541+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.315687+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.315697+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.369262+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.369463+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.369607+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.371971+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.372000+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.372593+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.372630+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.372734+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.373734+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.373826+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.381628+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.381759+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.381766+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.381877+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.381902+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.382807+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.383957+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.383958+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.384148+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.384153+00:00,1.5000,2.5000,17,0.6666666666666666666666666667
2024-03-12 12:27:02.429000+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.429560+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.429751+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.429752+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.429755+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.429950+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.430266+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.430882+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.431145+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.472823+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.472997+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.473116+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.530442+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.530455+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.532171+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.532418+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.532419+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.532510+00:00,1.5000,2.5000,8.666666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.539000+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.539023+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.539029+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546225+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546226+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546373+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546397+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546412+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.546912+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.575745+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
2024-03-12 12:27:02.609589+00:00,1.5000,2.5000,8.666666666666666666666666667,0.8333333333333333333333333333
